"","Site","SampleID","Sex","Family","Morphospecies","X","Size","Habitat","Period","SiteID"
"1","10L",1053,"F","Apidae","Apis mellifera","","Large","Hive",5,"20"
"2","10L",1030,"F","Apidae","Apis mellifera","","Large","Hive",6,"20"
"3","10L",1294,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"20"
"4","10L",1739,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"5","10L",1587,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"20"
"6","10L",1593,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"7","10L",2152,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"20"
"8","10L",1205,"F","Apidae","Ceratina dupla","","Small","Wood",2,"20"
"9","10L",1710,"","Halictidae","Halictus ligatus","Female","Small","Soil",3,"20"
"10","10L",2020,"","Halictidae","Lasioglossum platatum","","Small","Soil",4,"20"
"11","10L",1856,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",1,"20"
"12","10L",1025,"F","Apidae","Apis mellifera","","Large","Hive",4,"20"
"13","10L",1609,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"20"
"14","10L",1704,"","Halictidae","Lasioglossum spp.","","medium","Soil",5,"20"
"15","10L",1461,"M","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"16","10L",1810,"","Megachilidae","Stelis nitida","Male","Medium","Wood",2,"20"
"17","10L",1735,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"18","10L",1499,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"19","10L",1020,"F","Apidae","Apis mellifera","","Large","Hive",5,"20"
"20","10L",2222,"","Halictidae","Lasioglossum taylorae","","Small","Soil",5,"20"
"21","10L",2186,"","Halictidae","Lasioglossum anomalum","","Small","Soil",1,"20"
"22","10L",2049,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",1,"20"
"23","10L",1716,"","Halictidae","Halictus ligatus","Female","Small","Soil",3,"20"
"24","10L",1608,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"20"
"25","10L",1705,"","Halictidae","Halictus ligatus","Female","Small","Soil",6,"20"
"26","10L",2064,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",1,"20"
"27","10L",1562,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"28","10L",1696,"","Halictidae","Halictus ligatus","Female","Small","Soil",5,"20"
"29","10L",1755,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"30","10L",1586,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"20"
"31","10L",2063,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"20"
"32","10L",1613,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
